Iteration;Lambda;X1;X2;F_x;norm_X
;x^2 + 2y^2 - x + 2y;;;;
0;"( -1,2; 1)";"( -0,346446609406726; 1,25881904510252)";"( -0,941180954897479; 1,85355339059327)";;
1;"( -1,2; 1)";"( -0,346446609406726; 1,25881904510252)";"( -0,941180954897479; 1,85355339059327)";5,24098829371103;
2;"( -1,2; 1)";"( -0,346446609406726; 1,25881904510252)";"( -0,437308004315131; -0,318878213532766)";0,950342715867276;
3;"( 1,22436807941721; -0,590088752645368)";"( -0,346446609406726; 1,25881904510252)";"( -0,437308004315131; -0,318878213532766)";-0,843338245586867;
4;"( 1,22436807941721; -0,590088752645368)";"( 0,739167326341508; 0,0863010128155528)";"( 1,33349275034193; -0,0604683140103912)";-0,941938065481247;
5;"( 1,22436807941721; -0,590088752645368)";"( 1,00904887061054; -0,119488760256163)";"( 1,33349275034193; -0,0604683140103912)";-1,09085175054173;
6;"( 1,19781944494672; -0,340033644889323)";"( 1,00904887061054; -0,119488760256163)";"( 0,988404861496983; -0,314407646853919)";-1,11656886281658;
7;"( 1,09827315550024; -0,278490924222182)";"( 1,02619393955458; -0,207969022897107)";"( 0,988404861496983; -0,314407646853919)";-1,12078067145816;
8;"( 0,916325645551316; -0,243885745528844)";"( 1,02619393955458; -0,207969022897107)";"( 0,979832327024965; -0,270167515533447)";-1,12377980760119;
9;"( 0,959669389420543; -0,24147700737206)";"( 0,997972398888665; -0,23189564217493)";"( 0,979832327024965; -0,270167515533447)";-1,12434035328922;
10;"( 1,01813533649309; -0,260586150336317)";"( 0,997972398888665; -0,23189564217493)";"( 0,979832327024965; -0,270167515533447)";-1,1244469764124;
11;"( 1,01813533649309; -0,260586150336317)";"( 0,997972398888665; -0,23189564217493)";"( 0,99394309735792; -0,258204205894535)";-1,12482869594166;
12;"( 1,01813533649309; -0,260586150336317)";"( 1,00200580790708; -0,245645410145178)";"( 0,99394309735792; -0,258204205894535)";-1,12495805182903;
13;"( 0,997091951871238; -0,247039311978403)";"( 1,00200580790708; -0,245645410145178)";"( 0,99948672429643; -0,254577325278084)";-1,12497401190896;
14;"( 0,997091951871238; -0,247039311978403)";"( 1,00200580790708; -0,245645410145178)";"( 0,999517802092796; -0,250459843169937)";-1,1249993445737;
15;"( 1,00132065183425; -0,250141026814369)";"( 1,00051082343776; -0,249584324488638)";"( 0,999517802092796; -0,250459843169937)";-1,12499939348715;
16;"( 0,999361143230792; -0,249962612336747)";"( 1,00051082343776; -0,249584324488638)";"( 0,999517802092796; -0,250459843169937)";-1,12499958906635;
17;"( 0,999361143230792; -0,249962612336747)";"( 1,00051082343776; -0,249584324488638)";"( 0,999726892713537; -0,250116655791315)";-1,12499989819526;
;Extremum;0,999726892713537;-0,250116655791315;-1,12499989819526;
