Iteration;Lambda;X1;X2;F_x;norm_X
;x^2 + 2y^2 - x + 2y;;;;
0;"( -3; 3)";"( -2,14644660940673; 3,25881904510252)";"( -2,74118095489748; 3,85355339059327)";;
1;"( -3; 3)";"( -2,14644660940673; 3,25881904510252)";"( -2,74118095489748; 3,85355339059327)";2;
2;"( -3; 3)";"( -2,71183969855213; 3,1115985426303)";"( -2,95628994499863; 3,30390633115357)";0,286392938085311;
3;"( -2,85672922338355; 3,10929425394925)";"( -2,71183969855213; 3,1115985426303)";"( -2,90610489713735; 3,17985280123436)";0,108733918079108;
4;"( -2,85672922338355; 3,10929425394925)";"( -2,71183969855213; 3,1115985426303)";"( -2,8451946790526; 3,14514959976207)";0,0599231701541907;
5;"( -2,85672922338355; 3,10929425394925)";"( -2,7814008248851; 3,11941023474298)";"( -2,8451946790526; 3,14514959976207)";0,0234196582101447;
6;"( -2,7915820162615; 3,14377274890416)";"( -2,7814008248851; 3,11941023474298)";"( -2,8451946790526; 3,14514959976207)";0,0124200129532788;
7;"( -2,7915820162615; 3,14377274890416)";"( -2,7814008248851; 3,11941023474298)";"( -2,81584304981295; 3,13837054579282)";0,00565906452032233;
8;"( -2,7915820162615; 3,14377274890416)";"( -2,79255667896116; 3,13024094104574)";"( -2,81584304981295; 3,13837054579282)";0,00513023926578648;
9;"( -2,81050878844983; 3,12957224067684)";"( -2,79255667896116; 3,13024094104574)";"( -2,81584304981295; 3,13837054579282)";0,00107931491850613;
10;"( -2,81050878844983; 3,12957224067684)";"( -2,79255667896116; 3,13024094104574)";"( -2,80868789175922; 3,13413856832705)";0,000722710550577331;
11;"( -2,81050878844983; 3,12957224067684)";"( -2,80107750953284; 3,13104817277384)";"( -2,80868789175922; 3,13413856832705)";0,000530860086782709;
12;"( -2,80769574454793; 3,13108280561364)";"( -2,80107750953284; 3,13104817277384)";"( -2,80868789175922; 3,13413856832705)";0,000218856261125372;
13;"( -2,80769574454793; 3,13108280561364)";"( -2,80107750953284; 3,13104817277384)";"( -2,80653725939981; 3,1326020287604)";0,000129957505436003;
14;"( -2,80769574454793; 3,13108280561364)";"( -2,80409700575336; 3,13144529498043)";"( -2,80653725939981; 3,1326020287604)";3,47327632958251E-05;
15;"( -2,80650643856226; 3,13155323374203)";"( -2,80409700575336; 3,13144529498043)";"( -2,80468395353681; 3,13094788216165)";1,1260173778156E-05;
;Extremum;-2,80468395353681;3,13094788216165;1,1260173778156E-05;
