Iteration;Lambda;X1;X2;F_x;norm_X
;Rosenbrok;;;;
0;"( -1,2; 1)";"( 0,853553390593274; 0,258819045102521)";"( 0,258819045102521; 0,853553390593274)";;
1;"( -1,2; 1)";"( 0,853553390593274; 0,258819045102521)";"( 0,258819045102521; 0,853553390593274)";22,0864821427693;
2;"( -1,2; 1)";"( 0,853553390593274; 0,258819045102521)";"( -0,605265654509247; 0,405265654509247)";2,7283477827987;
3;"( 0,0736406766443231; 0,136475709510613)";"( 0,140978265174577; 0,397231229904308)";"( -0,605265654509247; 0,405265654509247)";2,57562419298668;
4;"( 0,0736406766443231; 0,136475709510613)";"( -0,469207865985981; 0,207690408062741)";"( -0,605265654509247; 0,405265654509247)";2,17411090531957;
5;"( 0,0736406766443231; 0,136475709510613)";"( -0,469207865985981; 0,207690408062741)";"( 0,209698465167589; -0,0610995369358931)";1,72860969643389;
6;"( 0,0485619073783228; -0,0511933965412596)";"( -0,189193569671703; 0,114791712931652)";"( 0,209698465167589; -0,0610995369358931)";1,19201242358694;
7;"( 0,0485619073783228; -0,0511933965412596)";"( -0,0300316916993734; 0,0293226230965378)";"( 0,209698465167589; -0,0610995369358931)";1,14173902179176;
8;"( 0,0485619073783228; -0,0511933965412596)";"( -0,0300316916993734; 0,0293226230965378)";"( 0,109481786503532; -0,036017461829127)";1,02345843464458;
9;"( 0,0308881874258356; 0,0444985578086704)";"( 0,170401665628741; -0,0208415271169944)";"( 0,109481786503532; -0,036017461829127)";0,937017426242202;
10;"( 0,085414956745986; 0,00803453166780486)";"( 0,170401665628741; -0,0208415271169944)";"( 0,109481786503532; -0,036017461829127)";0,836520386375055;
11;"( 0,085414956745986; 0,00803453166780486)";"( 0,170401665628741; -0,0208415271169944)";"( 0,146334835871195; 0,0232104663799375)";0,729066983203778;
12;"( 0,204058160093875; 0,012566420665571)";"( 0,143138280968666; -0,0026095140465616)";"( 0,146334835871195; 0,0232104663799375)";0,718049159783493;
13;"( 0,204058160093875; 0,012566420665571)";"( 0,239312932010273; 0,058884358661386)";"( 0,146334835871195; 0,0232104663799375)";0,578905211473842;
14;"( 0,396407462177089; 0,135554166081466)";"( 0,239312932010273; 0,058884358661386)";"( 0,297036256232953; 0,0482403129470195)";0,410913922243034;
15;"( 0,396407462177089; 0,135554166081466)";"( 0,495778668121226; 0,222868019215913)";"( 0,33868413795441; 0,146198211795833)";0,306810618517928;
16;"( 0,539435980155336; 0,307250674994328)";"( 0,495778668121226; 0,222868019215913)";"( 0,392388601551784; 0,162704652222261)";0,238556344898847;
17;"( 0,539435980155336; 0,307250674994328)";"( 0,495778668121226; 0,222868019215913)";"( 0,58021668543153; 0,31623669454655)";0,217894059448096;
18;"( 0,539435980155336; 0,307250674994328)";"( 0,687921662137847; 0,489495015879493)";"( 0,58021668543153; 0,31623669454655)";0,123827755294687;
19;"( 0,72870236741404; 0,498481035431715)";"( 0,687921662137847; 0,489495015879493)";"( 0,836407344120357; 0,671739356764657)";0,104257360859853;
20;"( 0,778895570986633; 0,621685261767255)";"( 0,687921662137847; 0,489495015879493)";"( 0,836407344120357; 0,671739356764657)";0,071408027155322;
21;"( 0,778895570986633; 0,621685261767255)";"( 0,747786559845671; 0,568103662572724)";"( 0,799874204768254; 0,633316909467323)";0,0442517510997655;
22;"( 0,778895570986633; 0,621685261767255)";"( 0,830983215909216; 0,686898508661854)";"( 0,799874204768254; 0,633316909467323)";0,0298877024477999;
23;"( 0,862092227050178; 0,740480107856384)";"( 0,830983215909216; 0,686898508661854)";"( 0,828271151803646; 0,694478084610452)";0,0197599723266979;
24;"( 0,862092227050178; 0,740480107856384)";"( 0,887278563719341; 0,793048689113047)";"( 0,837404436641671; 0,704083696434785)";0,0160532531915973;
25;"( 0,862092227050178; 0,740480107856384)";"( 0,887278563719341; 0,793048689113047)";"( 0,911966354127848; 0,829445100534646)";0,00825057709128713;
26;"( 0,974682922670428; 0,952780468758771)";"( 0,887278563719341; 0,793048689113047)";"( 0,911966354127848; 0,829445100534646)";0,00141027838410305;
27;"( 0,974682922670428; 0,952780468758771)";"( 0,971347675739036; 0,940144832413539)";"( 1,00353977174317; 1,00497142561191)";0,000462244717941244;
28;"( 0,987724700006179; 0,977193466925174)";"( 0,997993182940684; 0,998241504571241)";"( 1,00353977174317; 1,00497142561191)";0,00040457022250692;
29;"( 0,987724700006179; 0,977193466925174)";"( 0,99681270940768; 0,994661975419892)";"( 1,00353977174317; 1,00497142561191)";0,000115508062257983;
30;"( 0,987724700006179; 0,977193466925174)";"( 0,99681270940768; 0,994661975419892)";"( 0,997904238225052; 0,995449573392221)";1,75905631228551E-05;
31;"( 1,00217536072146; 1,0039869281465)";"( 0,998426254440468; 0,997190113094626)";"( 0,997904238225052; 0,995449573392221)";1,37077217991784E-05;
32;"( 1,00017030352711; 1,00015338569496)";"( 0,998426254440468; 0,997190113094626)";"( 0,997904238225052; 0,995449573392221)";3,53527311887193E-06;
33;"( 1,00017030352711; 1,00015338569496)";"( 0,998906017753117; 0,99789856831943)";"( 0,99860125860442; 0,997060661393507)";1,92502071985386E-06;
34;"( 1,00017030352711; 1,00015338569496)";"( 0,998906017753117; 0,99789856831943)";"( 1,00047506267581; 1,00099129262088)";3,9330588192264E-07;
35;"( 0,999930421870786; 0,999799158082558)";"( 0,998906017753117; 0,99789856831943)";"( 1,00047506267581; 1,00099129262088)";3,85412896679494E-07;
36;"( 0,999930421870786; 0,999799158082558)";"( 0,999554380013206; 0,999146896835575)";"( 1,00047506267581; 1,00099129262088)";3,42508117283138E-07;
;Extremum;0,999554380013206;0,999146896835575;3,42508117283138E-07;
