Iteration;Lambda;X1;X2;F_x;norm_X
;Rosenbrok;;;;
0;"( -2; 2)";"( 0,853553390593274; 0,258819045102521)";"( 0,258819045102521; 0,853553390593274)";;
1;"( -2; 2)";"( 0,853553390593274; 0,258819045102521)";"( 0,258819045102521; 0,853553390593274)";22,0864821427693;
Shrinking;;;;;
Shrinking;;;;;
2;"( 0,0658232497586111; 0,768456077013235)";"( 0,853553390593274; 0,258819045102521)";"( 0,363190422503988; 0,471088904267858)";11,9099436586732;
3;"( 0,337097578153621; 0,566705025849212)";"( 0,601848695461039; 0,388858005080528)";"( 0,363190422503988; 0,471088904267858)";0,229472925183577;
4;"( 0,602425179734253; 0,337225364090807)";"( 0,601848695461039; 0,388858005080528)";"( 0,551968943853164; 0,373559684284353)";0,224067114364296;
5;"( 0,602425179734253; 0,337225364090807)";"( 0,601848695461039; 0,388858005080528)";"( 0,614678936033767; 0,360412184660996)";0,178811028675426;
6;"( 0,602425179734253; 0,337225364090807)";"( 0,605200376672524; 0,368838389728215)";"( 0,614678936033767; 0,360412184660996)";0,156527692074481;
7;"( 0,617454132972038; 0,392025210298404)";"( 0,605200376672524; 0,368838389728215)";"( 0,613003095428024; 0,370421992337153)";0,152629713066608;
8;"( 0,613277934511156; 0,380827700665544)";"( 0,605200376672524; 0,368838389728215)";"( 0,613003095428024; 0,370421992337153)";0,151779791054886;
9;"( 0,613277934511156; 0,380827700665544)";"( 0,629020791563721; 0,389197760047615)";"( 0,613003095428024; 0,370421992337153)";0,141810881774823;
10;"( 0,613277934511156; 0,380827700665544)";"( 0,629020791563721; 0,389197760047615)";"( 0,637441898256267; 0,414194206395433)";0,137629533025031;
11;"( 0,67313816570767; 0,443432548333485)";"( 0,629020791563721; 0,389197760047615)";"( 0,637441898256267; 0,414194206395433)";0,116213626635664;
12;"( 0,67313816570767; 0,443432548333485)";"( 0,707828512818464; 0,508044611998147)";"( 0,637441898256267; 0,414194206395433)";0,0902970045324621;
13;"( 0,67313816570767; 0,443432548333485)";"( 0,707828512818464; 0,508044611998147)";"( 0,743524780269866; 0,537282953936198)";0,0899478005825406;
14;"( 0,830753608217155; 0,681126252234548)";"( 0,707828512818464; 0,508044611998147)";"( 0,743524780269866; 0,537282953936198)";0,036789954763787;
15;"( 0,830753608217155; 0,681126252234548)";"( 0,747483853530987; 0,55862460754176)";"( 0,880306632082481; 0,785060381792064)";0,0245691877359123;
16;"( 0,830753608217155; 0,681126252234548)";"( 0,909553253459234; 0,820327671749079)";"( 0,880306632082481; 0,785060381792064)";0,0130240071779999;
17;"( 1,02328261187826; 1,04582957584262)";"( 0,909553253459234; 0,820327671749079)";"( 0,880306632082481; 0,785060381792064)";0,00070533888212732;
18;"( 1,02328261187826; 1,04582957584262)";"( 0,983540846691266; 0,966497272980236)";"( 0,984949424007496; 0,973373184009066)";0,000344061664365425;
19;"( 1,02328261187826; 1,04582957584262)";"( 0,983540846691266; 0,966497272980236)";"( 0,99418057664613; 0,989768304210247)";0,000222456920414664;
20;"( 1,00607166177348; 1,01198118221893)";"( 0,983540846691266; 0,966497272980236)";"( 0,99418057664613; 0,989768304210247)";4,08254316035282E-05;
21;"( 1,00607166177348; 1,01198118221893)";"( 0,996576300544655; 0,993288537024491)";"( 0,996566574504069; 0,99380094968421)";1,32646351365182E-05;
22;"( 1,00607166177348; 1,01198118221893)";"( 0,996576300544655; 0,993288537024491)";"( 0,998945277831568; 0,99821790465296)";1,17554675715468E-05;
23;"( 1,0019162254808; 1,00386720152883)";"( 0,996576300544655; 0,993288537024491)";"( 0,998945277831568; 0,99821790465296)";3,76850832407738E-06;
24;"( 1,0019162254808; 1,00386720152883)";"( 1,00009943785782; 1,00025328339444)";"( 1,00147447374965; 1,00281484193356)";3,05799853231322E-07;
25;"( 0,9994243650865; 0,998823624063214)";"( 1,00009943785782; 1,00025328339444)";"( 1,00050152709082; 1,00098799796321)";2,74962137236363E-07;
;Extremum;1,00050152709082;1,00098799796321;2,74962137236363E-07;
