Iteration;Lambda;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
;Himmelblau;;;;;;;;
0;;;;3;-3;50;50;70;
1;0,0135812239657415;-0,121038587033923;0,0846244583011311;3,67906119828708;-2,04931432239809;1,00857030267617;-8,91220020664125;6,23098908571094;1,16830106077863
2;0,0127718475224631;0,0357730697928337;0,0513995469044306;3,56523593615819;-1,96973307988126;0,265090866054205;2,80093148073653;4,02444100699052;0,138886156470803
3;0,0159199423027429;-0,0364619857204887;0,025306493385632;3,60982660372545;-1,90566421124918;0,0739366111635374;-2,29033403683922;1,58960961694389;0,0780586161925062
4;0,0133239440302207;0,0104498360411478;0,0150618512908247;3,5793103212081;-1,88448434168312;0,0223863618486868;0,784289998325272;1,13043489650378;0,0371460680761019
5;0,0163969655370687;-0,0113159739446071;0,00781078024523024;3,5921702972817;-1,86594863964325;0,006890545893303;-0,690126104066334;0,47635522728717;0,0225599475780569
6;0,01344541513828;0,00322589868328568;0,00468310927562882;3,58289126531477;-1,85954384585908;0,0021674833143529;0,239925554555867;0,348305294218524;0,0112748311588733
7;0,0165935099185598;-0,00360442217691405;0,00247404675588849;3,58687247238401;-1,85376423850478;0,000684927314163548;-0,217218791841171;0,149097253566665;0,00701811020845761
8;0,0134829517749959;0,00102376896008789;0,00148344056858257;3,58394372188899;-1,85175396742516;0,000217781852557279;0,0759306253684346;0,110023427609791;0,00355229070821023
9;0,0165935099185598;-0,00114091731187467;0,000788648641643494;3,58520367747416;-1,84992829258784;6,94452002575842E-05;-0,0687568403233698;0,0475275360977963;0,00221823729303775
10;0,0135436873290256;0,000330098621476604;0,000474996905208865;3,58427245632709;-1,84928459449941;2,22017530077075E-05;0,0243728767105518;0,0350714612401672;0,0011320424257942
11;0,0165559732818439;-0,00036324779658557;0,000251994105454479;3,58467597302271;-1,84870395232416;7,11015534233476E-06;-0,0219405884753345;0,0152207364172801;0,00070708631674047
12;0,0135436873290256;0,000105200790540654;0,000152157544009988;3,58437881655259;-1,84849780742921;2,27774649194691E-06;0,00776751470887823;0,011234573001689;0,000361659626516622
13;0,0165935099185598;-0,000116699146455661;8,08188855574433E-05;3,58450770688495;-1,84831138643068;7,29236914537559E-07;-0,00703281867600135;0,00487051178166033;0,000226639595992235
14;0,0135436873290256;3,37248699500292E-05;4,87188096519472E-05;3,58441245658776;-1,84824542174197;2,33611734916809E-07;0,00249008036960164;0,00359715995122964;0,000115861811095834
15;0,0165935099185598;-3,74032292724019E-05;2,58791942384416E-05;3,58445377576107;-1,84818573223264;7,4834101714037E-08;-0,00225408786061389;0,00155959735857305;7,25955343466904E-05
;;;Extremum;3,58445377576107;-1,84818573223264;7,4834101714037E-08;;;
