Iteration;Lambda;X1;X2;F_x;norm_X
;x^2 + 2y^2 - x + 2y;;;;
0;;3;-3;50;
1;;4;-2;10;
2;;4;-2;10;
3;;3,5;-2;0,8125;
4;;3,5;-2;0,8125;
5;;3,5;-1,75;0,44140625;
6;;3,5;-1,75;0,44140625;
7;;3,625;-1,875;0,09033203125;
8;;3,625;-1,875;0,09033203125;
9;;3,5625;-1,8125;0,037872314453125;
10;;3,5625;-1,8125;0,037872314453125;
11;;3,59375;-1,84375;0,00512886047363281;
12;;3,59375;-1,84375;0,00512886047363281;
13;;3,578125;-1,84375;0,00216680765151978;
14;;3,578125;-1,84375;0,00216680765151978;
15;;3,5859375;-1,8515625;0,00025678426027298;
16;;3,5859375;-1,8515625;0,00025678426027298;
17;;3,5859375;-1,84765625;0,000127550447359681;
18;;3,5859375;-1,84765625;0,000127550447359681;
19;;3,583984375;-1,84765625;1,21174525702372E-05;
20;;3,583984375;-1,84765625;1,21174525702372E-05;
;Extremum;3,583984375;-1,84765625;1,21174525702372E-05;
