Iteration;Lambda;X1;X2;F_x;norm_X
;x^2 + 2y^2 - x + 2y;;;;
0;;-3;-3;26;
1;;-3,71072818671851;-3,26120443104093;0,247435784638799;
2;;-3,83758388516333;-3,30182278935955;0,184972027819282;
3;;-3,79372877555781;-3,28781595872148;0,0111893852973846;
4;;-3,77702177616436;-3,2824578507391;0,000280589025995158;
5;;-3,77783913424082;-3,28273438724467;0,000115992900665654;
6;;-3,77927816242927;-3,28315256453675;7,8856578374927E-08;
7;;-3,77932816242927;-3,28320256453675;2,23781679249012E-08;
;Extremum;-3,77932816242927;-3,28320256453675;2,23781679249012E-08;
