Iteration;Lambda;X1;X2;F_x;norm_X
;x^2 + 2y^2 - x + 2y;;;;
0;;0;0;170;
1;;0;0;170;
2;;3,39568073040238;0;13,2727042968036;
3;;3,39568073040238;-1,80316746837882;1,74384964960397;
4;;6,79136146080475;-3,60633493675764;1157,03790940505;
5;;-3,8580576949301;-3,60633493675764;4,68959646087609;
6;;-3,8580576949301;-3,30833228381377;0,339664894219095;
7;;-3,8580576949301;-3,30833228381377;0,339664894219095;
8;;-3,78541614113411;-3,30833228381377;0,025929771059852;
9;;-3,78541614113411;-3,28513890656451;0,00200204243593415;
10;;-3,71277458733811;-3,26194552931524;0,233022150662865;
11;;-3,7741531748488;-3,26194552931524;0,0182334771905284;
12;;-3,7741531748488;-3,28155132518662;0,00142378837074728;
13;;-3,76289020856349;-3,27796374380873;0,0143893517539381;
14;;-3,77803831105967;-3,27796374380873;0,00110774683379717;
15;;-3,77803831105967;-3,28278099682459;8,67027982425227E-05;
16;;-3,78192344727054;-3,28401066846257;0,000366362131841769;
17;;-3,77952096277453;-3,28401066846257;2,76830320358253E-05;
18;;-3,77952096277453;-3,28326577542857;2,38705267730237E-06;
19;;-3,78100361448939;-3,28375055403254;0,000153819773627844;
20;;-3,77945872145539;-3,28375055403254;1,29773355202866E-05;
21;;-3,77945872145539;-3,28323909785254;1,18313847841228E-06;
22;;-3,77939648013624;-3,28321242027652;3,98666523529313E-07;
23;;-3,77931106993962;-3,28321242027652;3,02448615707317E-08;
24;;-3,77931106993962;-3,28326242027652;2,55987597023414E-07;
25;;-3,77916341842385;-3,28328574270049;2,10609416122651E-06;
26;;-3,77936341842385;-3,28328574270049;4,53491103923335E-07;
27;;-3,77936341842385;-3,28320033250386;1,51850067342439E-07;
28;;-3,77941576690808;-3,28313824473121;8,90111224238584E-07;
29;;-3,77931019409908;-3,28313824473121;1,00494370379849E-07;
30;;-3,77931019409908;-3,28318824473121;2,28006086388056E-10;
;Extremum;-3,77931019409908;-3,28318824473121;2,28006086388056E-10;
