Iteration;Lambda;X1;X2;F_x;norm_X
;Rosenbrok;;;;
0;;-2;2;409;
1;;-1;1;4;
2;;0;0;1;
3;;0,25;0;0,953125;
4;;0,375;0,125;0,4150390625;
5;;0,40625;0,15625;0,360263824462891;
6;;0,40625;0,171875;0,357212066650391;
7;;0,4375;0,1875;0,31793212890625;
8;;0,46875;0,21875;0,282321929931641;
9;;0,5;0,25;0,25;
10;;0,53125;0,28125;0,219821929931641;
11;;0,5625;0,3125;0,19293212890625;
12;;0,59375;0,359375;0,169712066650391;
13;;0,625;0,390625;0,140625;
14;;0,65625;0,4375;0,122837066650391;
15;;0,6875;0,46875;0,09918212890625;
16;;0,71875;0,515625;0,0791969299316406;
17;;0,75;0,5625;0,0625;
18;;0,78125;0,609375;0,0479469299316406;
19;;0,8125;0,65625;0,03668212890625;
20;;0,84375;0,71875;0,0290870666503906;
21;;0,875;0,765625;0,015625;
22;;0,90625;0,828125;0,0134620666503906;
23;;0,9375;0,875;0,00543212890625;
24;;0,96875;0,9375;0,00107192993164063;
25;;1;1;0;
;Extremum;1;1;0;
