Iteration;Lambda;X1;X2;F_x;norm_X
;x^2 + 2y^2 - 2x + y;;;;
0;;0;0;;
1;0,416661304541788;0,833322609083576;-0,416661304541788;-1,04166666649415;0,93168300054918
2;0,277757971258111;0,925905620757091;-0,23148783433012;-1,11882462240903;0,207028568368643
3;0,416744045748315;0,987662403502891;-0,262347173597436;-1,12454287832098;0,0690376638881073
4;0,277757971258111;0,994517223663305;-0,248629976659202;-1,12496618523573;0,0153346030686778
5;0,416702675145052;0,999086598796751;-0,250913546223689;-1,12499749656484;0,005108216818617
6;0,277757971258111;0,999593839895652;-0,249898427449645;-1,1249998144;0,00113479498493369
7;0,416635736102836;0,999932281523753;-0,250067702466785;-1,12499998624696;0,000378413486889293
8;0,277845595601958;0,999969915238084;-0,249992461766795;-1,12499999898126;8,41276374879184E-05
;Extremum;0,999969915238084;-0,249992461766795;-1,12499999898126;
