Iteration;Lambda;X1;X2;F_x;norm_X
;Rosenbrok;;;;
0;;-1;2;;
1;0,000889164944001346;-1,35210931782453;1,82216701119973;5,53605746462571;0,394468685201366
2;0,000297058314499201;-1,34770531673589;1,82354019380166;5,51694837288367;0,00461311782279233
3;0,00185755684795558;-1,34499847305814;1,8213902800986;5,51431801353038;0,00345675160033238
4;0,0002;-1,3468619060607;1,82022596685155;5,51159114461773;0,00219727283065
5;-5E-05;-1,34787861942287;1,81987551641464;5,51349423280561;0,00107541692823432
6;-5E-05;-1,35214033205879;1,8181210686506;5,54289159722261;0,00460871799397031
7;-5E-05;-1,38254677732527;1,80505595153192;6,80819192595723;0,0330945493860876
8;-5E-05;-1,77526105323933;1,63530518519996;237,602455770641;0,427831538315016
9;-5E-05;-14,9099415470346;-4,03586035776844;5123333,05918547;14,3067099743385
10;-5E-05;-29905,2465760457;-12874,6046934709;7,99838038853669E+19;32543,5672016999
11;-5E-05;-467282120054212;-201166871393638;4,76778490714091E+60;508744228306853
12;-5E-05;-3,56529254062796E+45;-1,53487299809466E+45;1,61577424803002E+184;3,8816421808994E+45
13;-5E-05;-3,16718321339388E+138;-1,3634853069871E+138;∞;3,44820847536422E+138
14;-5E-05;-∞;-∞;∞;∞
15;-5E-05;не число;не число;не число;не число
;Extremum;не число;не число;не число;
