Iteration;Lambda;X1;X2;F_x;norm_X
;Rosenbrok;;;;
0;;3;-4;;
1;0,000197770876399966;-0,0860167553450752;-3,48579572136009;1221,420286;0,625712568339238
2;0,00557184289292275;0,628271539480141;0,402980457161715;0,144997;1,13392439865579
3;0,00102191856159852;0,634053231813195;0,399789710659416;0,134416;0,00884735539489557
4;0,00479304341116608;0,635118560038244;0,4045192396443;0,133269;0,00646774382559496
5;0,000524582472000673;0,637031329216071;0,40367984661862;0,1322;Restart
6;0,0291838277142181;0,642384343630724;0,416106729032922;0,129079;Restart
7;0,00198934435839139;0,645570250769866;0,414734445475649;0,126031;0,00453225533249806
8;0,0451807448131103;0,654326944720994;0,432758040569748;0,121619;Restart
9;0,00192198759680969;0,65797689142274;0,430984318940131;0,11736;0,00517292402756105
10;0,0246185825813492;0,661854856270075;0,440834138205499;0,115116;Restart
11;0,00194771559036178;0,664606740777954;0,439750318231233;0,11287;0,00371921681133379
12;0,0239525222928754;0,668211603372827;0,449125820570787;0,110769;Restart
13;0,00192198759680969;0,67083245448965;0,448119054637765;0,108711;0,00348713550250703
14;0,0275972947456301;0,675027737946277;0,458533863989972;0,106431;Restart
15;0,00188035882878008;0,677707736290225;0,457454005880704;0,104209;Restart
16;0,0280690012612089;0,681847352596229;0,467748424369257;0,102023;Restart
17;0,001854630835228;0,684460284486425;0,466697735199222;0,099885;0,00340596095849272
18;0,0263623510551301;0,688144099061917;0,476159794653627;0,097939;Restart
19;0,001854630835228;0,690637088266738;0,475188897266016;0,096026;0,00319706842615712
20;0,0160962845939359;0,692439331372477;0,481093864646837;0,094857;Restart
21;0,00192198759680969;0,694484854722072;0,480470512175526;0,093678;0,0025361592923924
22;0,0118340402959311;0,695556253299111;0,484904795491377;0,092808;0,00540194521111146
23;0,000845576270405519;0,697014795294655;0,484227686231926;0,092057;0,00189651216907598
24;0,000113312629199899;0,696872535487648;0,484379845544015;0,092043;Restart
25;0,0472902804816378;0,709045290135024;0,496216460877727;0,088917;Restart
26;0,00170401653758708;0,706881587872158;0,498441485583731;0,086072;0,00358617935407836
27;0,107427991687009;0,730976468441087;0,525939826353959;0,079407;0,0422701046553094
28;0,000791083505599866;0,727789338233987;0,528442986197545;0,074251;0,00450028599228353
29;2E-05;0,727868833111818;0,528396903843657;0,07425;Restart
30;0,0797875239804291;0,738862037953365;0,55067573480214;0,070457;Restart
31;0,00159503100797577;0,74193831364727;0,549157703916074;0,066769;0,00372266803624501
32;0,0632932522737778;0,749727422483298;0,565923162803449;0,064105;Restart
33;0,00156930301442369;0,752316323636435;0,564720463096921;0,061506;0,00303897003372281
34;0,0639221942945495;0,759725100408662;0,580841463392363;0,059071;Restart
35;0,00152767424639408;0,762158005668128;0,579723439578162;0,056704;Restart
36;0,168214238312085;0,782616221331644;0,618795738210578;0,051234;Restart
37;0,00146031748481238;0,786134616819232;0,616953521417772;0,04585;0,00398068067901277
38;0,0392347906600701;0,789495035232164;0,625490046667386;0,044791;Restart
39;0,00148604547836447;0,791147311243783;0,624839861647373;0,043735;0,0017628306312417
40;0,0243041115709633;0,79290507146074;0,630144728000702;0,043097;Restart
41;0,00148604547836447;0,794202231642531;0,629714881915858;0,042461;0,00134924395221148
42;0,0694450303752346;0,800447094597584;0,643779618882146;0,04076;Restart
43;0,00141868871678277;0,802405104923495;0,64291022657486;0,039133;0,00208558986514241
44;2,51046580644387;1,05080820138758;1,10635095517085;0,003045;Restart
45;0,000933747416002019;1,05155834885042;1,10594886859356;0,002661;Restart
46;0,0130689839864312;1,0511667106073;1,10549430319255;0,002648;0,000393171647404887
;Extremum;1,0511667106073;1,10549430319255;0,002648;0,117247943608629
