Iteration;Lambda;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
;x^2 - 2xy + 3y^2 + x -4y - 4;;;;;;;;
0;;;;0;0;170;14;22;
1;0,127348585378962;3,88838768453542;-2,47810085991649;1,78288019530547;2,80166887833717;32,1257081157008;30,5334187495244;-19,4591942465806;3,32084481640674
2;0,0399083582758871;-0,0242703836345827;-0,0357800845199099;3,00141881014918;2,02508438258455;0,0116117143135387;-0,608152895360945;-0,896556161808552;1,4449636102368
3;0,01520883805021;0,00529831870093431;-0,00358267661403703;2,99216951125387;2,01144880511668;0,00270961080673899;0,348371038171528;-0,235565439135408;0,0164766047150776
4;0,0233523849940431;-0,00330652930156616;-0,00488481208209978;3,00030480585803;2,0059477902907;0,00064279907431731;-0,141592788163162;-0,209178295208212;0,00982059990082443
5;0,0153071102409556;0,00126732515611815;-0,000861420801684441;2,99813742944029;2,00274587506594;0,000154327765422745;0,0827932337435777;-0,0562758605722737;0,00386649474883428
6;0,023389921630759;-0,000796876951819475;-0,00117264412860517;3,00007395668911;2,00142958709745;3,70838534059126E-05;-0,0340692441983875;-0,0501345898937548;0,00234152766402822
7;0,0153071102409556;0,000304121653624241;-0,00020775831925232;2,99955245501234;2,00066217140306;8,93906774830597E-06;0,0198679991740397;-0,0135726676023044;0,000927842037670797
8;0,0234506571847887;-0,000193175224509309;-0,000282870123825205;3,00001837264991;2,00034388342803;2,14952930539111E-06;-0,00823751859008082;-0,0120623538008431;0,000564257459012907
9;0,0153071102409556;7,32598891555184E-05;-4,99080394498766E-05;2,99989228004474;2,00015924364864;5,17369123115684E-07;0,00478600388984621;-0,00326044816194914;0,000223587104309766
10;0,023389921630759;-4,61308781394637E-05;-6,79720818557653E-05;3,00000422430065;2,00008298202165;1,24737978657015E-07;-0,00197225449780041;-0,00290604145361386;0,000135452398213605
11;0,0153446468776715;1,77857373132313E-05;-1,20379120560345E-05;2,99997396075183;2,00003838984173;3,01491933393604E-08;0,00115908417150426;-0,000784502383925906;5,38919743289485E-05
;;;Extremum;2,99997396075183;2,00003838984173;3,01491933393604E-08;;;
