Iteration;Lambda;X1;X2;F_x;norm_X
;Himmelblau;;;;
0;;3;-4;;
1;0,0002;-0,1208;-3,48;1222,47396459422;3,16382563362774
2;0,00502539685601548;0,308674287520082;0,0842117714957711;0,490181401154844;3,58999355371426
3;-1,15737743002975;0,310093318775041;0,0969814001002777;0,4760390495828;0,0128482319561714
4;-386,78731339332;0,450071187543775;0,183209326037585;0,339882325085077;0,164405167061399
5;-1,2286445040177;0,563863022451462;0,292231822226977;0,256314257892924;0,157589613766341
6;6,3949486722773;0,600621372847811;0,365746453864301;0,162003708186348;0,0821923195233733
7;-0,532005456861653;0,697011812321007;0,474448525370336;0,10474532085395;0,145283368530396
8;-2,16685351692705;0,76780891842044;0,573137986504003;0,0807842636597085;0,121457152819042
9;3,24922505287944;0,820036863818112;0,677488624888396;0,0349149765894161;0,116691105109569
10;-0,452681250000915;0,881667695894241;0,772138489596629;0,0167059480690487;0,112946696948971
11;-2,16039400329687;0,929045600695273;0,855665102928228;0,0106006196823617;0,0960279178050953
12;1,69170062524221;0,950594612428628;0,904915566161114;0,00260613022981087;0,053758422924581
13;-0,838393189559588;0,981212728527806;0,961246440918846;0,000587657138579523;0,0641142455655061
14;-4,27416724465763;1,00127729177479;1,0022417280639;1,15216790766982E-05;0,0456420887602423
15;-0,504404060677704;0,99984167477794;0,999675908616984;3,06410001580843E-08;0,00294014040410132
16;-1,31002486501401;0,999998434400014;0,999997185869472;1,25042511492658E-11;0,000357480981422932
17;-1,01315400383417;1,00000000203487;1,00000000417736;5,29893595092439E-18;3,22495556663797E-06
;Extremum;1,00000000203487;1,00000000417736;5,29893595092439E-18;
