Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
F(x,y) = x^2 + 2y^2 -4x + 2y;;;;;;;;
0;;;2;-2;3601;-0,000832639467110763;5,99666944213156;
1;-0,648075530776308;-2,58851934819517;1,99916773585368;3,99396638180387;0,999068004439913;-0,648367789215044;-2,58968667605654;5,99396643958394
2;-0,0320463213513024;-0,111457423463569;1,84135582014165;3,36363985688938;0,780517409479994;-0,131661810410647;-0,457921082299928;0,649781600810212
3;-0,151048467906998;-0,445984008486341;1,62895341576877;2,6249021880834;0,477304300019256;-0,0936303654523474;-0,276451964585231;0,768666458677796
4;-0,233060974279831;-0,590288137975951;1,36803277758069;1,85451084464004;0,164357768221282;-0,0836330324271668;-0,211822623402578;0,813377158202112
5;-0,115679597204683;-0,248805986581027;1,19015044172105;1,4039771028248;0,051734654456621;-0,0543878370914521;-0,116978445573279;0,484378754617624
6;-0,0486545506169034;-0,0929638491008877;1,02246751411398;1,04332131525103;0,000953594333786954;-0,0157810685349601;-0,0301527576626125;0,39773126771897
7;-0,00268242480907565;-0,00565100178978817;1,00197835204658;1,0041728420561;8,41778309290422E-06;-0,0020660449467215;-0,00435248870805412;0,0441860692494568
8;2,48248204071256E-05;4,73551840262093E-05;0,999974417851319;0,999951200619687;1,21342009674884E-09;2,55942509871858E-05;4,88229298594758E-05;0,00467311552142682
9;-5,65179759078435E-10;-1,54141474500531E-09;1,00000000056543;1,00000000154211;1,72315991462403E-17;-5,65434634546108E-10;-1,54210986686291E-09;5,50999572669128E-05
;;Extremum;1,00000000056543;1,00000000154211;1,72315991462403E-17;;;
