Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
Rosenbrok;;;;;;;;
0;;;-2;2;409;0,00748129675810461;1,97007481296758;
1;3,63134867378143;-14,4719130300119;-1,99251521057028;3,97099454982762;8,95522431867353;3,62965415604305;-14,4651599155245;1,97100876140189
2;0,0145180481410696;-0,0468490162089435;-1,74885093101443;2,99992606287326;7,89903286496591;0,216262695003637;-0,697868914964818;1,00117245641662
3;0,231361908269196;-0,566024800161273;-1,44010067173703;2,00360439753285;6,44809710279626;0,162056381492866;-0,396469460489712;1,04306451546899
4;0,410036783213158;-0,716168905400844;-1,04175113202507;1,02904587881832;4,4845865401175;0,166810980664238;-0,29135151362517;1,05282793569879
5;0,288469162126694;-0,305910920061054;-0,713018771046595;0,454883011558184;3,22079481871108;0,146379941672051;-0,155230535927143;0,661610129377468
6;0,322507576171253;-0,139592101743848;-0,374864176508727;0,0962825206935155;2,0859748393305;0,139606679759177;-0,0604264559500322;0,492892322779987
7;0,263524065994409;0,0419327613032795;-0,0768439988264602;-0,0327106132310418;1,30870955753154;0,123447077228914;0,0196432792712655;0,324738748697239
8;0,255889384917497;0,177621862270169;0,208333026593813;0,0126676336892273;0,72120071935844;0,110769079716069;0,0768887315410308;0,288764819742835
9;0,210655459791101;0,248027087842022;0,459258884782083;0,186844136702476;0,350359525436713;0,0929920558475006;0,109489442273039;0,305452517602072
10;0,177837355875961;0,283353080409113;0,684438217038776;0,451971725027143;0,126751292755653;0,0734412930514307;0,117016003262362;0,347848199314621
11;0,116933843073821;0,225969304806597;0,868742217051117;0,74562828485388;0,0254818826222444;0,0465956931821311;0,0900440464331655;0,346701802057363
12;0,00780752185273218;0,0169962960339254;0,996865186496412;0,993220064737765;3,68811298523341E-05;0,00283943538256833;0,0061812038751381;0,278778020592639
13;0,000196995859958466;0,000382798582268799;0,999810492387967;0,999631739503147;4,74024325433689E-08;0,000189914744200057;0,000369038693742351;0,00705580612629485
14;-3,94772169783766E-08;-6,38018614930492E-08;1,00000003955389;1,00000006392583;2,46137018049216E-14;-3,95537729490081E-08;-6,39255888935236E-08;0,000414235450503379
;;Extremum;1,00000003955389;1,00000006392583;2,46137018049216E-14;;;
